entity_name|licensee_type_cd|license_number|status|BLANK|city|zip|county|entity_name|licensee_type_cd|license_number|status|expiration_date|first_issue_date|city|state|zip|county|Action
A. G. APPLIANCE REPAIR SERVICES|A|44187|CANCELLED||HAYWARD|94544|ALAMEDA|A. G. APPLIANCE REPAIR SERVICES|MAJOR APPLIANCE REPAIR|44187|CANCELLED Definition|May       31, 2005|May       27, 2004|HAYWARD|CA|94544|ALAMEDA|No
A.P. APPLIANCES REPAIR SERVICE|A|43328|CLEAR||UNION CITY|94587|ALAMEDA|A.P. APPLIANCES REPAIR SERVICE|MAJOR APPLIANCE REPAIR|43328|CLEAR Definition|June      30, 2015|June      08, 2000|UNION CITY|CA|94587|ALAMEDA|No
A.S.A.P. INSTALLATION AND REPAIR|A|43515|CANCELLED||HAYWARD|94542|ALAMEDA|A.S.A.P. INSTALLATION AND REPAIR|MAJOR APPLIANCE REPAIR|43515|CANCELLED Definition|April     30, 2003|April     20, 2001|HAYWARD|CA|94542|ALAMEDA|No
A1 APPLIANCE SERVICE|A|42239|CLEAR||HAYWARD|94542|ALAMEDA|A1 APPLIANCE SERVICE|MAJOR APPLIANCE REPAIR|42239|CLEAR Definition|April     30, 2015|April     01, 1996|HAYWARD|CA|94542|ALAMEDA|No
A1 SON APPLIANCE REPAIR AND AIR CONDITIONING|A|46260|CLEAR||UNION CITY|94587|ALAMEDA|A1 SON APPLIANCE REPAIR AND AIR CONDITIONING|MAJOR APPLIANCE REPAIR|46260|CLEAR Definition|May       31, 2015|May       18, 2012|UNION CITY|CA|94587|ALAMEDA|No
AA COMPUTER SOLUTIONS|E|84684|CLEAR||CASTRO VALLEY|94546|ALAMEDA|AA COMPUTER SOLUTIONS|ELECTRONIC REPAIR|84684|CLEAR Definition|October   31, 2015|October   02, 2008|CASTRO VALLEY|CA|94546|ALAMEDA|No
AAA GAS APPLIANCE REPAIRS & SERV|A|32976|CANCELLED||ALAMEDA|94501|ALAMEDA|AAA GAS APPLIANCE REPAIRS & SERV|MAJOR APPLIANCE REPAIR|32976|CANCELLED Definition|June      30, 1990|ALAMEDA|CA|94501|ALAMEDA|No
AAA SYSTEMS & SOLUTIONS INC|E|82909|CLEAR||FREMONT|94539|ALAMEDA|AAA SYSTEMS & SOLUTIONS INC|ELECTRONIC REPAIR|82909|CLEAR Definition|November  30, 2015|November  15, 2006|FREMONT|CA|94539|ALAMEDA|No
AB REFRIGERATION CO. INC.|A|39780|CANCELLED||OAKLAND|94112|ALAMEDA|AB REFRIGERATION CO. INC.|MAJOR APPLIANCE REPAIR|39780|CANCELLED Definition|June      30, 1989|December  28, 1988|OAKLAND|CA|94112|ALAMEDA|No
ABC ADVANCED COMPUTER|E|84337|CLEAR||HAYWARD|94545|ALAMEDA|ABC ADVANCED COMPUTER|ELECTRONIC REPAIR|84337|CLEAR Definition|June      30, 2015|June      09, 2008|HAYWARD|CA|94545|ALAMEDA|No
ABC APPLIANCE|A|32087|CANCELLED||OAKLAND|94606|ALAMEDA|ABC APPLIANCE|MAJOR APPLIANCE REPAIR|32087|CANCELLED Definition|September 30, 1993|July      09, 1973|OAKLAND|CA|94606|ALAMEDA|No
ABC TELEVISION & ELECTRONICS|E|3701|CANCELLED||SAN LEANDRO|94579|ALAMEDA|ABC TELEVISION & ELECTRONICS|ELECTRONIC REPAIR|3701|CANCELLED Definition|January   31, 1996|June      30, 1964|SAN LEANDRO|CA|94579|ALAMEDA|No
ABLE APPLIANCE REPAIR|A|44334|CANCELLED||PLEASANTON|94588|ALAMEDA|ABLE APPLIANCE REPAIR|MAJOR APPLIANCE REPAIR|44334|CANCELLED Definition|December  31, 2005|December  22, 2004|PLEASANTON|CA|94588|ALAMEDA|No
ABOYS|A|44739|CANCELLED||UNION CITY|94587|ALAMEDA|ABOYS|MAJOR APPLIANCE REPAIR|44739|CANCELLED Definition|August    31, 2008|August    21, 2006|UNION CITY|CA|94587|ALAMEDA|No
ACA APPLIANCE SERVICE|A|39955|CANCELLED||OAKLAND|94601|ALAMEDA|ACA APPLIANCE SERVICE|MAJOR APPLIANCE REPAIR|39955|CANCELLED Definition|June      30, 1991|July      03, 1989|OAKLAND|CA|94601|ALAMEDA|No
